Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Baba,Reading,Reading,"LWB, LB",28,1800000,2024-06-30,18,1318,0,0.32,0,0.21,18.37,54.65,Ghana,Ghana,left,180,72,yes,8.95,7.31,61.68,2.73,67.5,0.14,0.17,0.14,4.3,5.21,0.75,5,0.34,0,0,2.05,0,0,0,0.02,0,0,7,0.48,14.29,0,0,3.41,22,3.41,22,0,0,0.2,2.32,44.12,5.19,35.53,0.82,0.89,0.34,18.23,1.37,0.55,30.32,70.5,10.79,60.76,5.74,94.05,8.6,65.87,23.56,82.03,3.35,38.78,21.51,33.5,0.01,0.14,0,0,0.34,60,0.14,4.23,62.9,3.07,31.11,0.82,16.67,0.41,0.82,6.56,71.88,0,,0,,0,0,0,0,,,0.48,,,0.07,0,0,0,0,0
J. Ralls,Cardiff City,Cardiff City,"LCMF, LDMF",29,1800000,2024-06-30,29,1877,0,1.66,1,2.52,16.3,49.71,England,England,left,178,70,no,7.86,6.62,62.32,2.21,43.48,0.24,0.31,0.29,3.5,4.58,1.44,5,0.24,0,0,1.97,0,0,0,0.08,0,0,25,1.2,20,0,0.05,1.53,46.88,1.05,40.91,0.48,60,0.14,0.96,55,3.79,37.97,0.58,1.01,0.29,25.89,0.43,0.58,39.85,81.95,14.67,68.63,6.62,97.1,11.7,88.52,34.38,87.17,3.98,50.6,17.38,29.19,0.12,1.29,0,0,0.86,55.56,0.24,6.57,65.69,2.88,51.67,1.34,42.86,0.72,0.72,6.81,73.94,0,,0,,0,0,0,0,,,0.43,,,1.49,0,0,2.64,1,0
M. Bola,Middlesbrough,Middlesbrough,"LCB, LWB, LB",25,1800000,2024-06-30,18,881,0,0.39,0,0.58,13.79,51.11,England,"England, Nigeria",left,185,78,no,7.76,4.6,62.22,2.86,57.14,0.41,0.73,0.61,4.49,8,1.12,2,0.2,0,0,2.25,0,0,0,0.04,0,0,6,0.61,16.67,0,0,1.23,25,1.23,25,0,0,0.1,2.04,60,3.58,37.14,0.61,1.94,0.1,44.64,0.92,0.2,57.62,82.45,24.01,71.49,8.68,95.29,18.29,91.62,49.55,88.87,6.95,47.06,22.73,29.84,0.06,0.72,0,0,1.12,54.55,0.31,10.22,68,2.66,50,1.23,50,0.82,0.31,11.65,79.82,0,,0,,0,0,0,0,,,2.25,,,0,0,0,0.1,0,0
J. Bidwell,Coventry City,Coventry City,"LWB, LB",29,1800000,2025-06-30,31,2781,1,3.2,2,2.48,13.59,52.62,England,England,left,183,80,no,7.28,5.24,66.05,2.98,56.52,0.58,0.73,0.13,3.24,4.08,0.81,6,0.19,0,0,1.26,0.03,1,0.03,0.1,1,0.03,14,0.45,35.71,7.143,0.06,2.36,34.25,2.27,34.29,0.1,33.33,0.19,0.49,60,1.94,35,0.97,0.32,0.26,19.97,1.2,0.45,27.7,78.04,9.48,67.92,5.7,93.75,7.25,77.68,22.3,85.49,3.24,56,18.5,28.09,0.08,0.78,0,0.03,0.06,0,0.19,3.62,63.39,1.78,43.64,0.06,0,0.19,0.78,5.89,77.47,0,,0,,0,0,0,0,,,0.23,,,0.32,0,0,0.71,0,0
D. Watmore,Millwall,Millwall,"CF, LAMF, LW",28,1800000,2023-06-30,24,1123,6,4.31,2,1.49,23,34.15,England,England,right,175,72,no,2.89,3.85,54.17,2.08,7.69,0,0,0,0.8,1.13,0.8,0,0,0,0,3.93,0.48,6,0.48,0.35,0,0,31,2.48,41.94,19.355,0.16,0.56,14.29,0.24,0,0.32,25,0.08,5.21,49.23,12.58,36.94,4.57,1.76,1.92,9.38,0.56,1.44,13.86,81.5,2.08,69.23,4.33,94.44,3.77,78.72,12.5,86.54,0.8,50,13.12,8.9,0.12,0.88,0,0,0.24,100,0.56,0.8,60,0.64,62.5,0.32,100,1.04,0.08,0.88,72.73,0,,0,,0,0,0,0,,,0,,,0,0,0,0.08,0,0
D. McNamara,Millwall,Millwall,"RB, RWB",24,1800000,2023-06-30,26,2419,0,0.18,1,0.91,16.37,48.18,England,"England, Republic of Ireland",right,180,72,no,9.45,5.95,65,2.98,40,1.04,1.39,0.11,4.54,6.04,0.67,5,0.19,0,0,1.71,0,0,0,0.01,0,0,7,0.26,0,0,0.04,2.86,32.47,0,0,2.86,32.47,0.15,1.08,68.97,3.94,40.57,0.37,1.49,0.56,22.25,1.23,0.67,34.75,74.3,15.07,64.2,5.32,96.5,8.56,77.39,25.71,84.8,6.21,50.3,20.82,37.97,0.03,0.3,0.04,0,0.07,50,0.19,7.26,66.67,2.64,45.07,0.63,35.29,0.37,0.86,9.3,73.6,0,,0,,0,0,0,0,,,0.78,,,0.04,0,0,0,0,0
R. Colwill,Cardiff City,Cardiff City,"LW, LAMF, RW",20,1500000,2024-06-30,15,549,0,0.19,0,1.01,28.03,35.67,Wales,Wales,right,193,85,no,7.54,7.7,61.7,4.75,27.59,0,0,0,2.79,4.25,1.31,1,0.16,0,0,3.44,0,0,0,0.03,0,0,8,1.31,12.5,0,0,4.26,15.38,1.31,12.5,2.95,16.67,0.16,6.56,32.5,11.97,26.03,1.64,1.97,0.66,25.25,0.66,0.82,35.74,72.94,8.36,60.78,9.34,100,12.46,63.16,30.16,82.61,1.48,33.33,18.62,20.79,0.17,0.98,0,0,1.31,37.5,0.33,3.61,59.09,4.26,26.92,1.31,37.5,0.82,0.82,4.92,70,0,,0,,0,0,0,0,,,0.49,,,0.49,0.33,0,0.98,0,0
K. Kesler-Hayden,Aston Villa U21,Huddersfield Town,"RB, RWB",20,1500000,2026-06-30,14,967,1,0.55,1,0.64,17.5,46.28,England,England,right,175,62,no,6.61,5.96,51.56,3.26,37.14,0,0,0.09,3.54,4.18,0.28,0,0,0,0,1.86,0.09,1,0.09,0.05,0,0,7,0.65,42.86,14.286,0.09,0.93,30,0,0,0.93,30,0,2.89,45.16,6.61,47.89,0.74,0.74,0.47,16.57,1.12,1.49,24.94,70.9,9.03,58.76,5.58,88.33,5.12,80,20.2,78.34,3.82,41.46,22.01,39.77,0.06,0.56,0.09,0.09,0.19,0,0.37,3.35,47.22,1.58,58.82,0.74,37.5,0.93,0.28,5.58,51.67,0,,0,,0,0,0,0,,,0.74,,,0,0,0,0,0,0
C. Taylor,Stoke City,Stoke City,"RCB, LCB",21,1500000,2025-06-30,10,800,0,0.24,0,0.24,15.52,60.87,England,England,right,183,77,no,7.54,5.18,58.7,5.4,62.5,0,0,0.56,4.5,6.35,0.45,4,0.45,0,0,0.79,0,0,0,0.03,0,0,2,0.23,50,0,0,0,0,0,0,0,0,0,0.9,75,2.81,56,0.68,1.91,0.68,20.7,0.34,0.79,34.2,82.89,14.85,68.18,2.7,95.83,14.29,94.49,30.71,87.55,3.49,41.94,23.34,41.98,0.03,0.34,0,0,0.11,0,0.11,4.84,67.44,0.34,33.33,0.23,50,0.34,0,6.3,67.86,0,,0,,0,0,0,0,,,0.79,,,0,0,0,0,0,0
T. Corbeanu,Arminia Bielefeld,Blackpool,"LW, LWF, RWF",20,1500000,2026-06-30,17,933,3,2.14,1,0.5,23.92,49.6,Canada,"Canada, Romania",left,190,76,yes,5.88,4.92,54.9,1.54,18.75,0.1,0.13,0.1,3.09,4.09,0.48,2,0.19,0,0,7.62,0.29,3,0.29,0.21,0,0,24,2.32,41.67,12.5,0.1,2.89,33.33,0.87,33.33,2.03,33.33,0.77,10.61,53.64,16.11,53.29,2.99,5.88,2.32,13.5,2.03,1.83,19.58,70.94,4.92,54.9,4.53,87.23,5.98,75.81,15.82,79.27,0.96,50,16.39,9.59,0.05,0.58,0,0.1,0.1,0,0.39,1.83,68.42,2.12,50,0.1,0,0.48,0.77,3.76,69.23,0,,0,,0,0,0,0,,,0,,,0.39,0.19,0,0,0,0
W. Keane,Wigan Athletic,Wigan Athletic,"AMF, CF",30,1500000,2023-06-30,29,2622,10,9.56,2,0.9,19.46,37.92,England,"England, Republic of Ireland",right,188,78,no,4.91,3.95,59.13,5.18,35.76,0.14,0.18,0.17,2.44,3.21,0.96,3,0.1,0,0,1.27,0.34,8,0.27,0.33,3,0.1,40,1.37,42.5,25,0.07,0.31,0,0.1,0,0.21,0,0.1,1.24,52.78,6.14,32.4,2.13,0.41,0.27,9.95,0.86,0.58,19.19,84.08,2.68,64.1,7.28,95.28,5.46,80.5,18.33,86.33,0.55,56.25,15.6,15.03,0.03,0.38,0.03,0,0.21,16.67,0.17,1.3,52.63,0.58,47.06,0.17,20,0.41,0.03,1.17,47.06,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,2,100
D. Sinani,Wigan Athletic,Wigan Athletic,"RW, RAMF, RWF",25,1500000,2023-05-31,18,835,1,2.17,2,1.24,16.71,43.87,Serbia,"Serbia, Luxembourg",left,185,74,yes,6.57,4.85,68.89,1.51,28.57,0,0,0.11,3.23,5.23,0.75,0,0,0,0,3.34,0.11,1,0.11,0.23,0,0,20,2.16,25,5,0.22,1.83,23.53,0.22,0,1.62,26.67,0.22,1.94,72.22,6.25,37.93,1.83,2.37,0,32.98,1.19,0.65,41.17,81.15,13.37,70.97,9.7,96.67,10.78,80,36.97,86.59,2.37,40.91,16.15,26.45,0.13,1.4,0,0,1.19,81.82,0.54,4.42,65.85,3.88,47.22,1.62,53.33,1.83,0.43,6.68,87.1,0,,0,,0,0,0,0,,,0.22,,,0.65,0.32,33.33,3.13,0,0
C. Woodrow,Luton Town,Luton Town,"AMF, CF",28,1500000,2023-06-30,14,488,1,2.19,0,0.58,24.9,37.78,England,England,right,184,78,no,5.35,6.27,52.94,5.35,55.17,0.18,0.29,0.18,1.84,2.94,1.66,1,0.18,0,0,1.66,0.18,1,0.18,0.4,0,0,14,2.58,35.71,7.143,0,1.11,16.67,0,0,1.11,16.67,0,0.92,40,8.3,31.11,3.87,0.55,0.18,16.97,1.11,0.74,27.85,77.48,6.27,58.82,7.38,90,8.67,78.72,24.34,83.33,2.4,46.15,16.9,15.24,0.11,0.74,0,0,0.18,100,0.37,3.14,58.82,1.66,33.33,0.55,33.33,0.37,0.18,3.32,55.56,0,,0,,0,0,0,0,,,0.18,,,0.37,0,0,0,0,0
S. Szmodics,Blackburn Rovers,Blackburn Rovers,"AMF, CF",27,1500000,2025-06-30,18,997,3,1.56,1,0.65,13.36,43.92,England,"England, Republic of Ireland",right,167,64,no,6.68,4.42,69.39,0.63,42.86,1.53,1.95,0,2.08,2.63,0.63,2,0.18,0,0,2.08,0.27,3,0.27,0.14,0,0,16,1.44,50,18.75,0.09,1.26,28.57,0.36,25,0.9,30,0.36,1.72,52.63,4.96,30.91,2.17,0.9,0.09,19.59,0.63,0.63,25.1,82.37,5.78,59.38,5.78,100,9.21,84.31,21.3,87.71,2.62,65.52,18.73,31.54,0.06,0.63,0,0,0.27,33.33,0.18,3.07,61.76,0.99,18.18,0.27,0,0.09,0.27,2.98,69.7,0,,0,,0,0,0,0,,,0.27,,,0,0,0,0,0,0
B. Osborn,Sheffield United,Sheffield United,"LWB, LCMF",28,1500000,2023-06-30,16,1080,1,1.53,0,0.85,16.83,46.04,England,England,left,176,75,no,8,6.42,61.04,2.58,38.71,0.25,0.36,0.17,3.83,5.56,0.58,0,0,0,0,3,0.08,1,0.08,0.13,0,0,12,1,33.33,8.333,0,3.75,40,3.33,40,0.42,40,0.17,1.92,52.17,5.25,34.92,1.58,1.08,0.25,26.17,0.92,0.42,39.42,76.32,11.17,63.43,8.08,94.85,11.5,73.91,31.5,85.19,4.17,42,17.62,29.63,0.07,1,0,0,0.17,100,0.5,4.5,55.56,4.58,50.91,0.17,0,1,1.5,8.5,69.61,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0.08,0,0
B. Potts,Preston North End,Preston North End,RWB,28,1500000,2024-06-30,23,1867,2,1.18,1,0.99,18.17,46.68,England,England,right,188,81,no,7.86,6.03,57.6,4.29,49.44,0.34,0.45,0.14,4.05,5.35,0.53,2,0.1,0,0,2.7,0.1,2,0.1,0.06,0,0,11,0.53,45.45,18.182,0.05,2.94,42.62,0,0,2.94,42.62,0.24,1.93,60,4.39,36.26,1.01,1.25,0.53,25.4,1.74,0.77,34.27,77.78,9.74,59.9,8.34,98.27,9.69,80.1,26.66,85.9,4.87,54.46,20.73,39.32,0.05,0.48,0,0,0.1,50,0.1,4.87,64.36,2.22,50,0.24,20,0.39,1.06,7.47,72.9,0,,0,,0,0,0,0,,,0.77,,,0,0,0,0,0,0
R. Longman,Hull City,Hull City,"CF, LAMF, LW",22,1500000,2025-06-30,27,1659,2,3.93,1,0.89,23.65,42.89,England,England,right,180,68,no,5.8,5.75,54.72,4.34,48.75,0.05,0.08,0.05,2.6,3.76,1.14,2,0.11,0,0,3.96,0.11,2,0.11,0.21,0,0,35,1.9,25.71,5.714,0.05,2.71,30,1.41,38.46,1.3,20.83,0.81,4.18,59.74,9.39,38.15,3.25,2.06,0.92,17.36,1.9,0.65,25.12,75.81,3.69,51.47,8.08,91.28,8.19,68.87,21.48,82.32,1.08,60,15.78,19.52,0.05,0.54,0.05,0,0.33,50,0.22,1.84,52.94,2.22,36.59,0.33,33.33,0.38,0.76,2.66,67.35,0,,0,,0,0,0,0,,,0,,,0,0,0,0.11,0,0
J. Lowe,Queens Park Rangers,Queens Park Rangers,"CF, AMF",28,1500000,2023-06-30,6,525,2,1.59,1,0.97,19.71,32.17,England,"England, Jamaica",right,183,75,no,3.43,3.6,47.62,3.43,20,0,0,0,1.71,2.46,1.71,2,0.34,0,0,3.09,0.34,2,0.34,0.27,1,0.17,9,1.54,44.44,22.222,0.17,0.86,40,0,0,0.86,40,0.51,4.11,50,8.91,38.46,3.26,1.03,0.34,8.74,0.86,1.54,15.77,84.78,3.94,82.61,3.6,100,4.11,79.17,14.23,89.16,0.69,50,14.27,16.95,0.17,0.86,0,0,0,0,0.69,1.54,66.67,1.2,100,0,0,0.86,0.34,1.54,88.89,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
S. Dieng,Queens Park Rangers,Queens Park Rangers,GK,28,1500000,2024-06-30,32,3145,1,0.4,0,0,1.06,72.97,Switzerland,"Switzerland, Senegal",right,193,90,no,1.72,0.06,100,0.57,80,0.03,0.04,0,1.63,2.35,0.03,2,0.06,0,0,0.06,0.03,1,0.03,0.01,1,0.03,2,0.06,50,50,0,0,0,0,0,0,0,0,0.03,100,0.23,75,0.06,0,0,12.19,0.14,0.23,19.12,89.22,9.9,80.35,0.03,100,8.18,98.95,12.62,97.96,6.5,72.25,31.45,48.7,0,0,0,0,0,0,0,1.97,56.52,0.11,0,0.09,33.33,0,0,4.95,82.08,43,1.23,120,3.43,7,64.17,35.71,1.02,-7.29,-0.209,0,1.86,0.57,,,,0,0,0
M. Colin,Birmingham City,Birmingham City,"RCB, RWB, RB",31,1500000,2023-06-30,30,2795,1,1.85,2,0.92,15.17,53.29,France,France,right,179,77,no,9.05,6.18,64.58,3.12,48.45,0.06,0.08,0.23,4.99,6.4,0.71,2,0.06,0,0,1.71,0.03,1,0.03,0.06,1,0.03,14,0.45,28.57,7.143,0.06,1.84,40.35,0,0,1.84,40.35,0.26,1.35,59.52,3.51,44.04,0.81,1,0.19,17.16,1.19,0.13,30.72,74.63,13.85,62.79,4.35,95.56,8.79,82.05,23.73,82.36,5.35,51.81,21.54,37.91,0.03,0.26,0,0,0.1,33.33,0.23,5.67,60.23,1.77,43.64,0.48,20,0.19,0.61,7.34,71.93,0,,0,,0,0,0,0,,,0.81,,,0,0,0,0,0,0
T. Ince,Reading,Reading,"RCMF, CF, RW",31,1500000,2025-06-30,31,2965,7,4.14,4,6.72,18.3,43.12,England,"England, Barbados",left,178,66,no,6.31,5.77,61.58,1.46,20.83,0.39,0.47,0,2.37,2.81,0.82,3,0.09,0,0,3.4,0.21,6,0.18,0.13,0,0,56,1.7,32.14,12.5,0.12,2.12,45.71,0.58,42.11,1.55,47.06,0.18,3.58,48.31,8.98,37.84,1.27,2.12,0.97,17.18,1.31,1.64,24.89,78.17,7.59,66,5.62,91.89,7.89,81.92,19.94,84.93,2.97,56.12,19.67,36.34,0.2,1.43,0.06,0,0.58,26.32,0.46,3.85,64.57,2.7,53.93,1.06,31.43,0.67,0.88,4.22,77.7,0,,0,,0,0,0,0,,,0.06,,,2.49,0.33,27.27,3.04,1,100
Y. Meïté,Reading,Reading,CF,27,1500000,2023-06-30,21,1111,3,5.78,2,0.66,29.41,38.84,France,"France, Côte d'Ivoire",left,184,82,no,3.89,3.73,56.52,11.02,42.65,0.16,0.19,0,1.62,1.85,1.62,2,0.16,0,0,3,0.24,3,0.24,0.47,0,0,27,2.19,40.74,11.111,0.16,1.22,6.67,0.97,8.33,0.24,0,0.16,3.97,51.02,11.18,30.43,3.32,0.81,0.32,5.1,1.05,1.46,9.72,61.67,1.78,50,2.19,85.19,2.67,54.55,8.34,70.87,0.24,0,17.77,8.51,0.05,0.49,0,0,0,0,0.24,0.57,71.43,0.73,33.33,0,0,0.32,0.08,0.89,54.55,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,0
M. Crooks,Middlesbrough,Middlesbrough,"RCMF, CF",29,1500000,2024-06-30,26,1665,6,4.28,5,1.79,22.16,44.39,England,England,right,191,80,no,7.41,6.16,61.4,5.08,53.19,0.76,1.17,0.11,2.86,4.44,1.62,6,0.32,0,0,2.27,0.32,6,0.32,0.23,2,0.11,28,1.51,42.86,21.429,0.27,1.35,32,0.11,50,1.24,30.43,0.16,2.05,50,6.38,29.66,2.86,1.41,0.43,21.03,0.76,0.81,29.73,82.18,8.22,72.37,5.84,91.67,9.3,83.14,27.41,86,1.03,47.37,16.11,16.48,0.1,0.65,0.05,0.16,0.38,42.86,0.54,3.68,72.06,1.51,42.86,0.49,33.33,0.54,0.32,3.46,81.25,0,,0,,0,0,0,0,,,0.27,,,0,0,0,0,0,0
C. Kipré,Cardiff City,Cardiff City,"LCB, CB, RCB",26,1500000,2024-06-30,30,2887,1,0.93,0,0.46,14.93,60.54,France,"France, Côte d'Ivoire",right,196,95,yes,9.04,4.36,72.86,5.21,57.49,0.19,0.26,0.72,5.67,7.76,0.65,7,0.22,0,0,0.47,0.03,1,0.03,0.03,1,0.03,7,0.22,14.29,14.286,0,0.22,0,0.09,0,0.12,0,0.03,0.75,54.17,2.46,40.51,0.84,0.84,0.12,20.76,0.31,0.5,35.82,83.81,16.37,74.29,1.59,94.12,15.24,93.66,31.24,88.92,4.43,50.7,21.81,38.58,0.01,0.16,0,0,0.16,20,0.09,3.59,57.39,0.62,35,0.41,38.46,0.28,0.03,6.67,64.02,0,,0,,0,0,0,0,,,1.37,,,0.03,0,0,0,0,0
M. Wallace,Millwall,Millwall,"LB, LCB",30,1500000,,25,2374,0,3.27,1,1.06,20.09,54.53,Scotland,Scotland,left,188,75,no,9.89,7.85,61.35,6.18,57.06,0.19,0.25,0.19,4.89,6.48,1.02,7,0.27,0,0,1.48,0,0,0,0.12,0,0,26,0.99,11.54,0,0.04,0.99,34.62,0.91,33.33,0.08,50,0.19,1.55,63.41,3.11,42.68,1.33,2.27,0.83,22.48,0.87,0.38,37.19,74.72,21.27,66.31,3.64,90.63,8.8,85.34,28.93,82.57,7.28,48.96,21.1,37.32,0.04,0.38,0.04,0,0.19,20,0.27,8.8,64.66,1.52,50,0.57,20,0.72,0.34,10.77,71.13,0,,0,,0,0,0,0,,,0.83,,,0.61,0,0,0,0,0
E. Simms,Everton,Sunderland,CF,22,1200000,2024-06-30,17,1222,7,4.69,2,2.12,24.53,36.04,England,"England, Poland",right,191,77,no,2.06,1.47,60,7.29,40.4,0.07,0.11,0.07,1.1,1.6,0.52,0,0,0,0,2.14,0.52,7,0.52,0.35,1,0.07,29,2.14,34.48,24.138,0.15,0.44,0,0.07,0,0.37,0,0,2.5,55.88,9.57,35.38,3.31,1.18,0.44,10.53,2.43,0.59,16.87,72.05,2.36,53.13,4.49,75.41,5.01,75,16.13,73.97,0.29,75,13.45,5.98,0.16,0.88,0,0,0.15,0,0.66,1.33,83.33,0.88,50,0.22,33.33,0.81,0.07,1.33,72.22,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Rodriguez,Burnley,Burnley,CF,33,1200000,2024-06-30,24,1822,9,8.39,0,0.68,14.67,35.35,England,"England, Spain",right,185,80,no,3.85,3.26,57.58,4,28.4,0.1,0.18,0.05,1.88,3.42,0.59,1,0.05,0,0,1.19,0.44,7,0.35,0.41,2,0.1,40,1.98,42.5,22.5,0,0.2,25,0.05,0,0.15,33.33,0,0.69,42.86,3.66,21.62,2.86,0.54,0.25,15.51,1.43,0.44,20.25,78.29,5.04,59.8,5.09,92.23,5.58,80.53,18.03,81.92,2.03,51.22,15.57,31.34,0.03,0.49,0,0,0.25,0,0.2,2.67,66.67,0.89,38.89,0.44,0,0.54,0.05,2.32,72.34,0,,0,,0,0,0,0,,,0.05,,,0,0,0,0,2,100
D. Potts,Luton Town,Luton Town,LCB,28,1200000,,23,2067,1,1.93,0,0,15.63,57.66,England,"England, United States",left,172,70,no,9.27,4.4,66.34,7.58,61.49,0.52,0.66,0.48,5.83,7.39,0.7,3,0.13,0,0,0.74,0.04,1,0.04,0.08,0,0,15,0.65,53.33,6.667,0,0.39,77.78,0.39,77.78,0,0,0.09,0.26,33.33,0.78,38.89,1.22,0.22,0.04,14.72,0.13,0.48,27.17,75.48,14.93,65.6,2.09,89.58,7.92,89.01,20.29,80.9,6.53,58.67,23.36,38.36,0,0.04,0,0,0,0,0,5.83,67.16,1,69.57,0.13,66.67,0.3,0.3,7.71,71.19,0,,0,,0,0,0,0,,,0.74,,,0,0,0,0.04,0,0
T. Conway,Bristol City,Bristol City,CF,20,1200000,2025-06-30,26,1601,6,3.87,2,2.37,21.08,30.93,Scotland,"Scotland, England",right,178,68,no,4.22,4.1,60.27,4.1,10.96,0,0,0.17,1.74,2.34,1.01,1,0.06,0,0,2.42,0.34,6,0.34,0.22,3,0.17,31,1.74,45.16,19.355,0.11,1.18,42.86,0.39,71.43,0.79,28.57,0.39,2.08,51.35,8.26,32.65,3.54,1.63,0.67,10.29,1.01,1.35,14.73,81.3,2.59,60.87,5.12,94.51,3.94,78.57,13.32,85.65,0.22,25,13.02,4.28,0.13,0.67,0,0.06,0.17,33.33,0.39,0.51,55.56,0.96,58.82,0.11,0,0.73,0.51,0.9,56.25,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
T. Gardner-Hickman,West Bromwich Albion,West Bromwich Albion,"RB, LCMF, RDMF",21,1200000,2026-06-30,19,854,1,0.16,1,0.25,19.07,54.14,England,"England, Republic of Ireland",right,178,72,no,8.64,7.9,65.33,2.74,50,0.42,0.65,0.21,3.06,4.73,1.37,2,0.21,0,0,2.21,0.11,1,0.11,0.02,0,0,5,0.53,40,20,0.11,1.79,41.18,0.32,66.67,1.48,35.71,0,1.37,84.62,5.16,42.86,0,0.95,0.32,32.04,0.84,0.74,47.32,84.41,13.91,68.94,6.32,93.33,20.76,89.34,38.36,90.38,7.38,62.86,19.14,27.21,0.03,0.21,0,0,0.42,25,0.21,7.8,62.16,2.85,44.44,0.42,50,0.53,0.63,7.17,76.47,0,,0,,0,0,0,0,,,0.84,,,0.32,0,0,0.21,0,0
O. Turton,Huddersfield Town,Huddersfield Town,"RB, RCB, LCB",30,1200000,2023-06-30,18,1336,0,0.33,1,1.06,13.68,56.16,England,England,right,180,75,no,7.48,5.32,67.09,3.44,50.98,0.27,0.34,0.47,3.64,4.54,0.2,0,0,0,0,0.81,0,0,0,0.02,0,0,3,0.2,0,0,0.07,1.35,25,0.13,50,1.15,17.65,0.07,0.74,63.64,2.16,43.75,0.47,0.4,0.2,22.37,0.61,0.67,32.27,74.32,16.03,60.08,4.31,95.31,8.02,89.92,25.06,86.02,5.93,36.36,22.64,33.04,0.07,0.2,0,0,0.07,0,0.2,6.47,47.92,1.21,27.78,0.74,18.18,0.2,0.34,7.34,61.47,0,,0,,0,0,0,0,,,0.74,,,0,0,0,0,0,0
C. Lang,Wigan Athletic,Wigan Athletic,"RAMF, CF, RW",24,1200000,2025-06-30,21,1660,1,3.21,1,1.75,25.86,37.74,England,England,right,180,70,no,4.55,4.99,47.83,3.25,25,0.16,0.23,0.05,2.01,2.78,1.3,2,0.11,0,0,4.34,0.05,1,0.05,0.17,0,0,29,1.57,34.48,3.448,0.05,2.66,24.49,0,0,2.6,25,0.43,5.86,50,13.34,39.43,2.93,1.73,1.14,10.36,0.81,2.44,16.64,71.99,3.2,55.93,5.04,89.25,4.77,75,13.28,82.86,0.76,42.86,18.77,15.38,0.09,0.65,0,0,0.33,66.67,0.43,1.46,59.26,1.41,46.15,0.16,33.33,0.33,0.76,2.01,64.86,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Connolly,Blackpool,Blackpool,"RB, LCMF",25,1200000,2023-06-30,28,2670,1,3.9,1,0.96,18.64,52.26,England,England,right,183,70,no,9.44,7.45,55.2,4.38,50.77,0.37,0.49,0.34,4.96,6.49,1.31,6,0.2,1,0.03,1.08,0.03,1,0.03,0.13,0,0,24,0.81,12.5,4.167,0.03,1.31,41.03,0,0,1.31,41.03,0.17,0.84,52,2.73,46.91,1.01,0.4,0.17,13.92,0.81,0.88,24.81,70.79,11.49,56.6,3.34,91.92,6.78,79.1,17.87,78.87,5.73,52.35,22.66,42.82,0.03,0.34,0.07,0,0,0,0.2,5.7,59.17,1.72,50.98,0.44,38.46,0.57,0.61,6.24,65.95,0,,0,,0,0,0,0,,,0.51,,,0.07,0.03,0,0,0,0
